#{"t_start": 1745259507.7428339, "env_id": "None"}
r,l,t,user_id
5.459721,22,54.221789,1
2.808354,28,54.528554,1
9.768398,50,55.088999,1
7.468011,50,55.642862,1
11.028181,40,56.092834,1
4.773452,21,56.346489,1
12.929162,50,64.011874,1
2.828926,12,64.173509,1
4.696843,19,64.412657,1
1.517097,21,64.649238,1
8.521768,50,65.216219,1
10.540458,48,65.771059,1
6.494025,50,66.490654,1
7.438811,31,66.955007,1
13.034544,50,67.56469,1
2.212458,22,67.826221,1
7.234752,49,68.448443,1
9.856261,50,69.082683,1
10.127369,50,69.690296,1
14.060439,50,70.502543,1
9.352762,50,71.169141,1
7.610103,50,71.780241,1
13.45692,41,72.244322,1
4.141477,26,72.603886,1
3.11158,16,72.828598,1
6.251675,25,73.130588,1
7.228427,39,73.644592,1
10.916452,50,74.256948,1
7.6926,50,74.929953,1
12.033741,50,75.512592,1
7.908501,50,76.207673,1
6.911169,37,76.689589,1
9.544303,38,77.124748,1
5.940778,37,77.543214,1
9.669165,50,78.232912,1
9.812113,50,78.810364,1
9.156198,36,79.217143,1
2.795376,21,79.509523,1
2.382875,12,79.715057,1
3.037117,27,80.068922,1
3.68038,50,80.680533,1
2.781486,23,80.956276,1
10.525325,50,81.534353,1
8.547261,50,82.080121,1
13.647123,50,82.659116,1
6.726925,23,82.94291,1
8.713532,41,83.416112,1
8.838855,50,84.009285,1
8.790916,38,84.436599,1
4.588543,18,84.646356,1
3.011951,20,84.882139,1
7.568933,30,85.223008,1
8.487179,47,85.76763,1
9.532369,34,86.167838,1
10.631109,50,86.777339,1
8.782138,35,87.173899,1
11.122073,50,87.799507,1
7.80687,50,88.406929,1
3.266135,17,88.610806,1
8.473647,46,96.307332,1
4.335408,20,96.539795,1
14.625055,50,97.107642,1
6.413895,29,97.45149,1
10.653596,37,97.880677,1
11.428264,47,98.430702,1
8.911359,50,98.999635,1
12.043623,50,99.635121,1
7.708537,50,100.228356,1
8.428653,50,100.819644,1
10.641727,50,101.371198,1
13.06008,50,101.940546,1
5.548645,26,102.233147,1
9.210434,50,102.802619,1
6.942205,36,103.202224,1
10.017409,50,103.772103,1
8.74357,39,104.214271,1
11.694822,48,104.760743,1
11.599219,50,105.329321,1
10.444756,50,105.891724,1
7.453965,35,106.285167,1
9.862908,50,106.833895,1
3.51662,27,107.144176,1
3.022027,9,107.252145,1
4.385244,27,107.563073,1
9.221534,50,108.128044,1
9.705961,37,108.547058,1
5.84015,26,108.853746,1
9.783547,50,109.434823,1
4.128177,26,109.734477,1
9.579739,50,110.298101,1
10.033414,50,110.875978,1
5.773518,30,111.214409,1
3.872175,32,111.564143,1
2.759485,21,111.807142,1
11.509711,50,112.376372,1
2.676552,15,112.559055,1
2.788834,28,112.886348,1
3.774239,13,113.039857,1
7.824781,50,113.601332,1
8.491523,50,114.148964,1
3.92607,26,114.438308,1
8.509657,24,114.710043,1
14.025308,50,115.270455,1
7.5042,50,115.831069,1
10.224573,50,116.410241,1
11.550509,50,116.977512,1
3.232475,20,117.203938,1
11.65498,43,117.693661,1
8.315852,39,118.12101,1
11.133782,50,118.682869,1
5.338562,26,118.970301,1
11.661308,50,126.941813,1
6.490205,34,127.334262,1
4.220922,33,127.748487,1
6.246424,50,128.349099,1
5.541994,22,128.642803,1
7.350897,50,129.21274,1
9.100605,50,129.813896,1
2.739626,15,129.994173,1
11.290302,50,130.563147,1
3.232072,26,130.967781,1
7.538986,50,131.545087,1
6.229608,50,132.103318,1
6.125854,31,132.455059,1
6.168117,34,132.880517,1
4.176157,12,133.040388,1
5.541648,28,133.366952,1
8.801381,36,133.769734,1
10.743641,50,134.385317,1
8.866136,50,134.946312,1
6.2094,25,135.253607,1
7.061233,34,135.673599,1
12.412366,50,136.243754,1
6.087548,27,136.566145,1
9.395577,50,137.133993,1
3.668253,18,137.342068,1
10.145459,50,137.890339,1
9.642081,50,138.452194,1
4.743808,34,138.880631,1
4.362829,27,139.194835,1
8.678182,40,139.666125,1
9.492829,48,140.28744,1
7.326796,26,140.576094,1
12.477616,50,141.149417,1
3.174757,19,141.369534,1
5.373046,19,141.576935,1
4.378227,26,141.873044,1
7.961833,50,142.422829,1
11.402054,50,142.97495,1
3.249474,22,143.216139,1
6.811511,41,143.66172,1
7.165954,19,143.887105,1
3.518508,34,144.265232,1
8.631038,44,144.748575,1
5.267467,27,145.052638,1
2.901004,13,145.200095,1
9.237273,50,145.760781,1
7.351762,35,146.133772,1
8.913818,50,146.679806,1
5.529602,43,147.149243,1
7.372685,27,147.453326,1
10.407704,50,148.01937,1
7.226081,30,148.368827,1
2.66727,18,148.606121,1
2.898928,12,148.744541,1
10.12531,50,149.317328,1
6.336286,38,149.727303,1
13.279623,50,150.283117,1
11.594256,49,158.332817,1
9.434865,50,158.916435,1
12.032701,50,159.488946,1
2.038459,25,159.784469,1
12.712884,50,160.348754,1
6.847607,38,160.788855,1
9.78554,50,161.363546,1
10.667646,50,161.942238,1
3.861605,24,162.226946,1
4.367899,16,162.417325,1
5.783261,37,162.84239,1
7.275368,50,163.403149,1
3.471173,16,163.594526,1
10.041848,50,164.169483,1
6.284838,26,164.472104,1
10.28979,46,164.995248,1
7.647185,50,165.564442,1
10.497403,50,166.132438,1
5.012618,32,166.494352,1
3.770017,23,166.767833,1
7.508872,31,167.114918,1
3.469754,19,167.333487,1
8.952379,50,167.893282,1
6.448456,28,168.210789,1
7.610115,50,168.774565,1
9.066171,44,169.284212,1
11.775884,43,169.775806,1
2.855468,8,169.872531,1
5.16154,27,170.178951,1
4.011692,15,170.348444,1
9.126266,50,170.901276,1
5.142812,39,171.345996,1
8.177374,38,171.779177,1
3.231943,7,171.869531,1
8.043968,50,172.433782,1
9.646135,50,173.00235,1
14.312562,50,173.582486,1
11.052627,45,174.10662,1
8.688168,50,174.695942,1
11.172609,50,175.322406,1
4.192085,16,175.52243,1
11.710889,50,176.097129,1
5.098402,23,176.362493,1
4.671183,24,176.632253,1
11.5442,42,177.127726,1
13.520787,50,177.698847,1
4.649299,27,178.058098,1
6.557507,36,178.574144,1
9.359183,50,179.150394,1
4.56695,36,179.675482,1
9.019334,49,180.388074,1
10.659888,40,180.923328,1
8.35671,50,181.854497,1
7.056331,45,190.331019,1
4.723352,37,190.839128,1
7.263981,25,191.141064,1
2.816739,14,191.312165,1
3.663291,21,191.564571,1
5.499168,29,191.893465,1
11.789255,46,192.411455,1
3.339805,16,192.605572,1
7.140003,24,192.878091,1
7.957192,48,193.41178,1
6.151516,28,193.72718,1
10.951796,50,194.321131,1
4.688615,26,194.618484,1
10.59097,50,195.16874,1
2.684978,17,195.358064,1
5.487456,27,195.689253,1
8.028203,50,196.282385,1
3.743038,25,196.565826,1
3.168983,16,196.763729,1
